<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20221215;090000;64669.0000000;65500.0000000;64669.0000000;65085.0000000;10095
20221215;090100;65085.0000000;65116.0000000;65060.0000000;65109.0000000;2918
20221215;090200;65108.0000000;65112.0000000;65024.0000000;65024.0000000;1947
20221215;090300;65024.0000000;65055.0000000;65007.0000000;65008.0000000;1934
20221215;090400;65007.0000000;65019.0000000;65000.0000000;65014.0000000;1480
20221215;090500;65011.0000000;65050.0000000;65007.0000000;65049.0000000;1385
20221215;090600;65047.0000000;65060.0000000;65040.0000000;65045.0000000;631
20221215;090700;65046.0000000;65073.0000000;65045.0000000;65057.0000000;936
20221215;090800;65057.0000000;65087.0000000;65054.0000000;65068.0000000;931
20221215;090900;65076.0000000;65108.0000000;65070.0000000;65108.0000000;1987
20221215;091000;65107.0000000;65146.0000000;65107.0000000;65128.0000000;1388
20221215;091100;65127.0000000;65242.0000000;65127.0000000;65229.0000000;2116
20221215;091200;65228.0000000;65238.0000000;65219.0000000;65226.0000000;1014
20221215;091300;65227.0000000;65292.0000000;65227.0000000;65292.0000000;1173
20221215;091400;65292.0000000;65300.0000000;65283.0000000;65298.0000000;890
20221215;091500;65296.0000000;65356.0000000;65290.0000000;65342.0000000;2050
20221215;091600;65340.0000000;65355.0000000;65322.0000000;65323.0000000;1644
20221215;091700;65323.0000000;65348.0000000;65300.0000000;65319.0000000;2673
20221215;091800;65317.0000000;65320.0000000;65276.0000000;65276.0000000;647
20221215;091900;65276.0000000;65283.0000000;65255.0000000;65261.0000000;731
20221215;092000;65260.0000000;65260.0000000;65225.0000000;65232.0000000;638
20221215;092100;65233.0000000;65254.0000000;65225.0000000;65242.0000000;780
20221215;092200;65246.0000000;65287.0000000;65246.0000000;65286.0000000;803
20221215;092300;65286.0000000;65381.0000000;65283.0000000;65373.0000000;2191
20221215;092400;65376.0000000;65406.0000000;65361.0000000;65376.0000000;1717
20221215;092500;65380.0000000;65392.0000000;65300.0000000;65326.0000000;1490
20221215;092600;65327.0000000;65328.0000000;65290.0000000;65306.0000000;794
20221215;092700;65302.0000000;65324.0000000;65300.0000000;65319.0000000;437
20221215;092800;65319.0000000;65384.0000000;65316.0000000;65376.0000000;1327
20221215;092900;65376.0000000;65378.0000000;65327.0000000;65333.0000000;971
20221215;093000;65334.0000000;65334.0000000;65308.0000000;65318.0000000;792
20221215;093100;65316.0000000;65316.0000000;65296.0000000;65308.0000000;1252
20221215;093200;65308.0000000;65309.0000000;65287.0000000;65287.0000000;506
