<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20230316;090000;75749.0000000;75900.0000000;75749.0000000;75900.0000000;4329
20230316;090100;75900.0000000;75927.0000000;75894.0000000;75901.0000000;2356
20230316;090200;75901.0000000;75919.0000000;75868.0000000;75909.0000000;1072
20230316;090300;75908.0000000;75926.0000000;75882.0000000;75898.0000000;1704
20230316;090400;75901.0000000;75915.0000000;75870.0000000;75910.0000000;710
20230316;090500;75909.0000000;75916.0000000;75901.0000000;75902.0000000;1011
20230316;090600;75902.0000000;75915.0000000;75902.0000000;75908.0000000;626
20230316;090700;75910.0000000;75911.0000000;75900.0000000;75903.0000000;433
20230316;090800;75903.0000000;75907.0000000;75892.0000000;75898.0000000;527
20230316;090900;75898.0000000;75929.0000000;75896.0000000;75929.0000000;1105
20230316;091000;75929.0000000;75947.0000000;75925.0000000;75944.0000000;1197
20230316;091100;75943.0000000;75945.0000000;75923.0000000;75939.0000000;1148
20230316;091200;75940.0000000;75950.0000000;75938.0000000;75949.0000000;1062
20230316;091300;75949.0000000;75949.0000000;75920.0000000;75920.0000000;496
20230316;091400;75925.0000000;75931.0000000;75860.0000000;75926.0000000;1275
20230316;091500;75924.0000000;75939.0000000;75918.0000000;75923.0000000;723
20230316;091600;75923.0000000;75938.0000000;75902.0000000;75902.0000000;849
20230316;091700;75901.0000000;75912.0000000;75900.0000000;75911.0000000;217
20230316;091800;75912.0000000;75942.0000000;75911.0000000;75936.0000000;321
20230316;091900;75938.0000000;75950.0000000;75934.0000000;75950.0000000;708
20230316;092000;75949.0000000;75960.0000000;75949.0000000;75956.0000000;1171
20230316;092100;75960.0000000;75972.0000000;75958.0000000;75972.0000000;832
20230316;092200;75971.0000000;75977.0000000;75962.0000000;75964.0000000;364
20230316;092300;75964.0000000;75974.0000000;75957.0000000;75969.0000000;427
20230316;092400;75973.0000000;75976.0000000;75966.0000000;75970.0000000;375
20230316;092500;75969.0000000;75970.0000000;75958.0000000;75964.0000000;267
20230316;092600;75962.0000000;75965.0000000;75931.0000000;75935.0000000;644
20230316;092700;75934.0000000;75940.0000000;75928.0000000;75938.0000000;228
20230316;092800;75938.0000000;75938.0000000;75894.0000000;75917.0000000;944
20230316;092900;75917.0000000;75922.0000000;75901.0000000;75910.0000000;569
20230316;093000;75910.0000000;75911.0000000;75884.0000000;75899.0000000;1272
20230316;093100;75899.0000000;75900.0000000;75882.0000000;75882.0000000;613
20230316;093200;75884.0000000;75886.0000000;75870.0000000;75871.0000000;347
20230316;093300;75871.0000000;75872.0000000;75851.0000000;75857.0000000;591
20230316;093400;75857.0000000;75871.0000000;75850.0000000;75870.0000000;1035
20230316;093500;75870.0000000;75872.0000000;75863.0000000;75866.0000000;206
20230316;093600;75868.0000000;75885.0000000;75866.0000000;75881.0000000;313
20230316;093700;75882.0000000;75884.0000000;75876.0000000;75876.0000000;208
20230316;093800;75877.0000000;75880.0000000;75869.0000000;75873.0000000;189
20230316;093900;75871.0000000;75872.0000000;75858.0000000;75858.0000000;543
20230316;094000;75860.0000000;75860.0000000;75858.0000000;75858.0000000;423
20230316;094100;75858.0000000;75862.0000000;75858.0000000;75859.0000000;233
20230316;094200;75859.0000000;75859.0000000;75855.0000000;75856.0000000;673
20230316;094300;75855.0000000;75855.0000000;75818.0000000;75820.0000000;908
20230316;094400;75820.0000000;75834.0000000;75814.0000000;75823.0000000;1116
20230316;094500;75824.0000000;75868.0000000;75819.0000000;75830.0000000;1364
20230316;094600;75830.0000000;75830.0000000;75813.0000000;75813.0000000;698
20230316;094700;75813.0000000;75814.0000000;75800.0000000;75801.0000000;1845
20230316;094800;75800.0000000;75815.0000000;75800.0000000;75815.0000000;1115
20230316;094900;75816.0000000;75840.0000000;75812.0000000;75839.0000000;780
20230316;095000;75838.0000000;75854.0000000;75835.0000000;75850.0000000;872
20230316;095100;75847.0000000;75868.0000000;75847.0000000;75865.0000000;1209
20230316;095200;75868.0000000;75880.0000000;75865.0000000;75875.0000000;1031
20230316;095300;75876.0000000;75877.0000000;75854.0000000;75861.0000000;409
20230316;095400;75860.0000000;75862.0000000;75854.0000000;75860.0000000;143
20230316;095500;75859.0000000;75859.0000000;75850.0000000;75851.0000000;189
20230316;095600;75853.0000000;75860.0000000;75853.0000000;75859.0000000;184
20230316;095700;75858.0000000;75860.0000000;75857.0000000;75860.0000000;80
