<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220616;100000;62125.0000000;62490.0000000;61920.0000000;61958.0000000;15022
20220616;100100;61945.0000000;61983.0000000;61713.0000000;61813.0000000;16228
20220616;100200;61821.0000000;61898.0000000;61788.0000000;61882.0000000;3785
20220616;100300;61891.0000000;61923.0000000;61749.0000000;61772.0000000;7522
20220616;100400;61774.0000000;61774.0000000;61626.0000000;61700.0000000;5900
20220616;100500;61700.0000000;61777.0000000;61658.0000000;61748.0000000;4437
20220616;100600;61738.0000000;62190.0000000;61727.0000000;62068.0000000;12603
20220616;100700;62073.0000000;62258.0000000;62042.0000000;62194.0000000;9054
20220616;100800;62194.0000000;62320.0000000;62165.0000000;62196.0000000;7900
20220616;100900;62193.0000000;62500.0000000;62165.0000000;62380.0000000;13660
20220616;101000;62380.0000000;62458.0000000;62280.0000000;62388.0000000;10486
20220616;101100;62388.0000000;62388.0000000;62230.0000000;62230.0000000;4492
20220616;101200;62236.0000000;62250.0000000;62172.0000000;62172.0000000;4013
20220616;101300;62172.0000000;62189.0000000;62120.0000000;62146.0000000;4423
20220616;101400;62146.0000000;62156.0000000;62070.0000000;62100.0000000;3695
20220616;101500;62100.0000000;62230.0000000;62048.0000000;62136.0000000;5819
20220616;101600;62136.0000000;62139.0000000;62015.0000000;62031.0000000;5147
20220616;101700;62026.0000000;62035.0000000;61944.0000000;61946.0000000;6823
20220616;101800;61951.0000000;62004.0000000;61910.0000000;61918.0000000;4853
20220616;101900;61918.0000000;61930.0000000;61822.0000000;61856.0000000;6015
20220616;102000;61862.0000000;61973.0000000;61843.0000000;61930.0000000;4962
20220616;102100;61930.0000000;61935.0000000;61785.0000000;61785.0000000;6388
20220616;102200;61785.0000000;61813.0000000;61720.0000000;61810.0000000;5876
20220616;102300;61810.0000000;61856.0000000;61801.0000000;61832.0000000;2201
20220616;102400;61834.0000000;61926.0000000;61825.0000000;61874.0000000;3878
20220616;102500;61874.0000000;61901.0000000;61664.0000000;61689.0000000;7646
20220616;102600;61697.0000000;61745.0000000;61685.0000000;61730.0000000;3802
20220616;102700;61731.0000000;61930.0000000;61716.0000000;61920.0000000;5460
20220616;102800;61923.0000000;61930.0000000;61840.0000000;61892.0000000;3159
