<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20230921;090000;94665.0000000;94932.0000000;94665.0000000;94872.0000000;5598
20230921;090100;94880.0000000;94880.0000000;94791.0000000;94815.0000000;1670
20230921;090200;94815.0000000;94828.0000000;94766.0000000;94789.0000000;1186
20230921;090300;94782.0000000;94790.0000000;94750.0000000;94770.0000000;694
20230921;090400;94772.0000000;94815.0000000;94772.0000000;94810.0000000;727
20230921;090500;94810.0000000;94873.0000000;94810.0000000;94828.0000000;1040
20230921;090600;94838.0000000;94855.0000000;94831.0000000;94844.0000000;843
20230921;090700;94843.0000000;94843.0000000;94812.0000000;94829.0000000;403
20230921;090800;94826.0000000;94861.0000000;94826.0000000;94854.0000000;621
20230921;090900;94855.0000000;94871.0000000;94846.0000000;94863.0000000;984
20230921;091000;94863.0000000;94879.0000000;94860.0000000;94877.0000000;625
20230921;091100;94874.0000000;94896.0000000;94864.0000000;94896.0000000;648
20230921;091200;94896.0000000;94912.0000000;94879.0000000;94888.0000000;1158
20230921;091300;94886.0000000;94887.0000000;94837.0000000;94857.0000000;1676
20230921;091400;94858.0000000;94858.0000000;94823.0000000;94839.0000000;794
20230921;091500;94842.0000000;94860.0000000;94827.0000000;94849.0000000;546
20230921;091600;94850.0000000;94850.0000000;94825.0000000;94825.0000000;401
20230921;091700;94832.0000000;94835.0000000;94826.0000000;94832.0000000;152
20230921;091800;94836.0000000;94836.0000000;94812.0000000;94813.0000000;606
20230921;091900;94812.0000000;94819.0000000;94805.0000000;94810.0000000;557
20230921;092000;94810.0000000;94819.0000000;94807.0000000;94818.0000000;197
20230921;092100;94816.0000000;94816.0000000;94781.0000000;94793.0000000;913
20230921;092200;94795.0000000;94796.0000000;94776.0000000;94780.0000000;545
20230921;092300;94780.0000000;94789.0000000;94766.0000000;94780.0000000;962
20230921;092400;94780.0000000;94780.0000000;94757.0000000;94761.0000000;858
20230921;092500;94761.0000000;94779.0000000;94761.0000000;94772.0000000;718
20230921;092600;94768.0000000;94771.0000000;94747.0000000;94763.0000000;950
20230921;092700;94763.0000000;94767.0000000;94741.0000000;94748.0000000;904
20230921;092800;94749.0000000;94756.0000000;94739.0000000;94745.0000000;488
20230921;092900;94743.0000000;94747.0000000;94726.0000000;94743.0000000;585
20230921;093000;94743.0000000;94764.0000000;94738.0000000;94764.0000000;602
20230921;093100;94764.0000000;94765.0000000;94730.0000000;94747.0000000;1139
20230921;093200;94749.0000000;94799.0000000;94741.0000000;94793.0000000;1701
20230921;093300;94793.0000000;94819.0000000;94792.0000000;94811.0000000;765
20230921;093400;94811.0000000;94818.0000000;94801.0000000;94804.0000000;410
20230921;093500;94806.0000000;94813.0000000;94798.0000000;94812.0000000;442
20230921;093600;94807.0000000;94813.0000000;94801.0000000;94813.0000000;209
20230921;093700;94812.0000000;94816.0000000;94794.0000000;94797.0000000;389
20230921;093800;94799.0000000;94806.0000000;94797.0000000;94802.0000000;194
20230921;093900;94802.0000000;94808.0000000;94802.0000000;94804.0000000;79
20230921;094000;94808.0000000;94819.0000000;94800.0000000;94800.0000000;246
20230921;094100;94800.0000000;94800.0000000;94747.0000000;94750.0000000;424
20230921;094200;94753.0000000;94757.0000000;94746.0000000;94749.0000000;212
20230921;094300;94749.0000000;94753.0000000;94737.0000000;94749.0000000;366
20230921;094400;94749.0000000;94772.0000000;94749.0000000;94751.0000000;173
20230921;094500;94752.0000000;94774.0000000;94751.0000000;94772.0000000;768
20230921;094600;94770.0000000;94788.0000000;94763.0000000;94771.0000000;549
20230921;094700;94768.0000000;94778.0000000;94768.0000000;94774.0000000;255
20230921;094800;94770.0000000;94778.0000000;94768.0000000;94774.0000000;202
20230921;094900;94774.0000000;94781.0000000;94768.0000000;94773.0000000;453
20230921;095000;94782.0000000;94839.0000000;94775.0000000;94839.0000000;1182
20230921;095100;94839.0000000;94839.0000000;94770.0000000;94785.0000000;779
20230921;095200;94780.0000000;94806.0000000;94773.0000000;94775.0000000;894
20230921;095300;94775.0000000;94777.0000000;94762.0000000;94765.0000000;344
20230921;095400;94764.0000000;94766.0000000;94732.0000000;94732.0000000;815
20230921;095500;94732.0000000;94734.0000000;94703.0000000;94723.0000000;1274
20230921;095600;94722.0000000;94738.0000000;94713.0000000;94736.0000000;346
20230921;095700;94736.0000000;94742.0000000;94727.0000000;94728.0000000;286
20230921;095800;94730.0000000;94735.0000000;94723.0000000;94732.0000000;234
20230921;095900;94733.0000000;94742.0000000;94705.0000000;94729.0000000;947
20230921;100000;94726.0000000;94754.0000000;94705.0000000;94733.0000000;1044
20230921;100100;94737.0000000;94750.0000000;94725.0000000;94731.0000000;1135
